,category,title,cash_price,store,link,created_at
73,notebooks,Notebook Gigabyte Aorus 15 XE4 i7 12700H 16Gb SSD NVME 1Tb RTX...,2430059.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aorus-15-xe4-i7-12700h-16gb-ssd-nvme-1tb-rtx-3070ti-15-6-w10.html,2023-08-28 13:20:35
74,notebooks,Notebook Gigabyte Aero XE5 i7 12700H 16Gb SSD 1Tb + 1Tb RTX...,2446919.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-xe5-i7-12700h-16gb-ssd-1tb-1tb-rtx-3070ti-16-w11.html,2023-08-28 13:20:35
75,notebooks,Notebook Gigabyte Aero 17 KE5 i7 12700H 16Gb SSD NVME 1Tb RTX...,2480689.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-17-ke5-i7-12700h-16gb-ssd-nvme-1tb-rtx-3060-17-3-uhd-w11.html,2023-08-28 13:20:35
76,monitores,Espuma De Limpieza Para Monitores y Otros,4599.0,venex,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-28 13:20:36
77,monitores,Monitor LG Led 19 19M38A-B,63519.0,venex,https://www.venex.com.ar//monitores/monitor-lg-led-19-19m38a-b.html,2023-08-28 13:20:36
78,monitores,Monitor 19 Philips 193V5LHSB2/55 HDMI HD 60Hz,67490.0,venex,https://www.venex.com.ar//monitores/monitor-19-led-philips-193v5lhsb2-55-hdmi.html,2023-08-28 13:20:36
79,monitores,Monitor 22 Philips 221V8/77 FHD 75Hz,74990.0,venex,https://www.venex.com.ar//monitores/monitor-22-philips-221v8-77-fhd-75hz.html,2023-08-28 13:20:36
80,monitores,Monitor 24 Philips 241V8L/77 VA FHD 75Hz,84990.0,venex,https://www.venex.com.ar//monitores/monitor-24-philips-fhd-lcd-60hz.html,2023-08-28 13:20:36
81,monitores,Monitor 20 Led LG 20MK400H-B Hdmi HD,85469.0,venex,https://www.venex.com.ar//monitores/monitor-20-led-lg-20mk400h-b-hdmi-fhd-60hz.html,2023-08-28 13:20:36
82,monitores,Monitor 22 Asus VP228HE-J TN FHD 60Hz,85990.0,venex,https://www.venex.com.ar//monitores/monitor-22-asus-vp228he-j-led-fhd-60hz.html,2023-08-28 13:20:36
